Rank,Order,Family,Species,Common names,GE Score,ED Score,EDGE Score,Conservation Attention,Region,Countries,Relevant Global Programme,IUCN Red List link
1,Monotremata,Tachyglossidae,Zaglossus attenboroughi,"Sir David's Long-beaked Echidna, Attenborough's Echidna, Cyclops Long-beaked Echidna",CR,55.21737845,6.801814656,None,Asia,Indonesia,,http://www.iucnredlist.org/details/136322/0
1,Monotremata,Tachyglossidae,Zaglossus bartoni,Eastern Long-beaked Echidna,CR,55.21737845,6.801814656,None,Asia,"Indonesia, Papua New Guinea",,http://www.iucnredlist.org/details/136552/0
1,Monotremata,Tachyglossidae,Zaglossus bruijnii,"Western Long-beaked Echidna, Long-beaked Echidna, Long-nosed Echidna, Long-nosed Spiny Anteater, New Guinea Long-nosed Echidna",CR,55.21737845,6.801814656,Limited,Asia,Indonesia,,http://www.iucnredlist.org/details/23179/0
4,Chiroptera,Mystacinidae,Mystacina robusta,New Zealand Greater Short-tailed Bat,CR,54.10322232,6.781796918,None,Australasia,New Zealand,,http://www.iucnredlist.org/apps/redlist/details/14260/0
5,Cetacea,Lipotidae,Lipotes vexillifer,"Changjiang Dolphin, Chinese Lake Dolphin, White Flag Dolphin, Whitefin Dolphin, Yangtze River Dolphin",CR,38.67180179,6.453229375,None,Asia,China,Marine and Freshwater,http://www.iucnredlist.org/details/12119/0
6,Diprotodontia,Burramyidae,Burramys parvus,"Mountain Pygmy Possum, Broom's Pygmy-possum, Burramys",CR,32.75582928,6.291741844,Active,Australasia,Australia,,http://www.iucnredlist.org/details/3339/0
7,Soricomorpha,Solenodontidae,Solenodon cubanus,"Almiqui, Cuban Solenodon",EN,61.69215212,6.217677816,None,Americas,Cuba,,http://www.iucnredlist.org/details/20320/0
7,Soricomorpha,Solenodontidae,Solenodon paradoxus,"Haitian Solenodon, Hispaniolan Solenodon",EN,61.69215212,6.217677816,Limited,Americas,"Haiti, Dominican Republic",,http://www.iucnredlist.org/details/20321/0
9,Perissodactyla,Rhinocerotidae,Dicerorhinus sumatrensis,Sumatran Rhinoceros,CR,29.44751148,6.188592988,Active,Asia,"Indonesia (Sumatra, Kalimantan), Malaysia (Sabah, Sarawak, Peninsula Malaysia), ? Northern Myanmar",,http://www.iucnredlist.org/details/6553/0
10,Lagomorpha,Leporidae,Bunolagus monticularis,"Riverine Rabbit, Bushman Hare",CR,27.88392179,6.135873823,Active,Africa,South Africa,,http://www.iucnredlist.org/details/3326/0
11,Perissodactyla,Rhinocerotidae,Diceros bicornis,"Black Rhinoceros, Hook-lipped Rhinoceros",CR,26.63195412,6.091561583,Active,Africa,"Kenya; Namibia; South Africa; Tanzania; Zimbabwe, ?Angola; ?Cameroon; ?Mozambique; ?Rwanda; Botswana; Malawi; Swaziland; Zambia",,http://www.iucnredlist.org/details/6557/0
12,Diprotodontia,Vombatidae,Lasiorhinus krefftii,"Northern Hairy-nosed Wombat, Queensland Hairy-nosed Wombat",CR,25.98457399,6.067854091,Active,Australasia,Australia,,http://www.iucnredlist.org/details/11343/0
13,Artiodactyla,Camelidae,Camelus ferus,"Bactrian Camel, Wild Bactrian Camel",CR,25.29566761,6.041992918,Limited,Asia,"Mongolia, China",,http://www.iucnredlist.org/details/63543/0
14,Perissodactyla,Rhinocerotidae,Rhinoceros sondaicus,Javan Rhinoceros,CR,24.64177112,6.016811428,Active,Asia,"Vietnam, Indonesia (Java)",,http://www.iucnredlist.org/details/19495/0
15,Rodentia,Diatomyidae,Laonastes aenigmamus,Laotian Rock Rat,EN,44.3,5.892748574,None,Asia,Lao,,http://www.iucnredlist.org/details/136474/0
16,Pilosa,Bradypodidae,Bradypus pygmaeus,Pygmy Three-toed Sloth,CR,20.88097152,5.858206101,None,Americas,Panama,,http://www.iucnredlist.org/apps/redlist/details/61925/0
17,Proboscidea,Elephantidae,Elephas maximus,"Asian Elephant, Indian Elephant",EN,39.76418423,5.7872454,Active,Asia,"Bangladesh; Bhutan; Cambodia; China; India; Indonesia (Kalimantan, Sumatera); Lao People's Democratic Republic; Malaysia (Peninsular Malaysia, Sabah); Myanmar; Nepal; Sri Lanka; Thailand; Viet Nam",,http://www.iucnredlist.org/details/7140/0
18,Rodentia,Octodontidae,Octodon pacificus,Pacific degu,CR,18.43970169,5.739906176,None,Americas,Chile,,http://www.iucnredlist.org/apps/redlist/details/15090/0
